[Mon Jan 23 23:55:49 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S02 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:55:49 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S03 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:55:49 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S04 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:55:49 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S05 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:55:49 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S06 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/Dexter. in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/Dexter.. in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S01 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S02 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S03 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S04 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S05 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:56:17 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S06 in /home/fabex/dev/test/doRename.php on line 29
[Mon Jan 23 23:58:53 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Mon Jan 23 23:58:58 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Mon Jan 23 23:59:09 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Mon Jan 23 23:59:15 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Mon Jan 23 23:59:28 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Mon Jan 23 23:59:33 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Mon Jan 23 23:59:36 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Mon Jan 23 23:59:41 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined property: stdClass::$episodes in /home/fabex/dev/test/doRename.php on line 23
[Mon Jan 23 23:59:41 2012] [error] [client 127.0.0.1] PHP Notice:  Trying to get property of non-object in /home/fabex/dev/test/doRename.php on line 26
[Mon Jan 23 23:59:41 2012] [error] [client 127.0.0.1] PHP Notice:  Trying to get property of non-object in /home/fabex/dev/test/doRename.php on line 26
[Mon Jan 23 23:59:41 2012] [error] [client 127.0.0.1] PHP Notice:  Trying to get property of non-object in /home/fabex/dev/test/doRename.php on line 26
[Mon Jan 23 23:59:41 2012] [error] [client 127.0.0.1] PHP Notice:  Trying to get property of non-object in /home/fabex/dev/test/doRename.php on line 27
[Mon Jan 23 23:59:50 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Mon Jan 23 23:59:57 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Tue Jan 24 00:00:16 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined property: stdClass::$episodes in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:00:16 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Tue Jan 24 00:00:23 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:00:27 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 24
[Tue Jan 24 00:01:02 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:01:35 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:01:53 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined property: stdClass::$number in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:02:02 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected T_LNUMBER, expecting T_STRING or T_VARIABLE or '{' or '$' in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:02:08 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:03:43 2012] [error] [client 127.0.0.1] PHP Warning:  array_pop() expects parameter 1 to be array, object given in /home/fabex/dev/test/doRename.php on line 23
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/Dexter. in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/Dexter.. in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S01 in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S02 in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S03 in /home/fabex/dev/test/doRename.php on line 34
